station_id,city,station_name,latitude,longitude,slots,empty_slots,free_bikes,station_location
29f79e7d7e4440c7554a3f3e3bae4f88,Bike Share Toronto,Mallon Ave / Jones Ave -SMART,43.66587,-79.33443,16,10,6,"43.665870, -79.334430"
8d65a48806e799a8c2d5dcb77e97c1cb,Bike Share Toronto,Berkeley St / Dundas St E - SMART,43.658816,-79.367318,19,6,13,"43.658816, -79.367318"
53fc6d540a0eac8fb9f5366572e53515,Bike Share Toronto,128 Sterling Rd - SMART,43.654004,-79.444792,20,15,5,"43.654004, -79.444792"
049156f7c0e19a53a77d8310d93eed0c,Bike Share Toronto,Sunnyside Ave / The Queensway - SMART,43.6397,-79.44865,19,3,16,"43.639700, -79.448650"
adaa360374ea04ae057eba2ca7ba3e5b,Bike Share Toronto,Sackville St / Eastern Ave - SMART,43.653809,-79.3595,12,7,5,"43.653809, -79.359500"
8485289697ef258129b2437308511fcb,Bike Share Toronto,Davenport Rd / McAlpine St - SMART,43.673768,-79.391253,12,7,5,"43.673768, -79.391253"
fb0ff514e9bb7798f0a682f36f644b05,Bike Share Toronto,Sumach St  / Queen St E,43.656638,-79.358749,19,17,2,"43.656638, -79.358749"
4898d236bceda7c4cb9430c896669537,Bike Share Toronto,Blythwood Rd / Yonge St - SMART,43.716652,-79.399993,11,8,2,"43.716652, -79.399993"
c835abf1540e63c50d5a879e5075387e,Bike Share Toronto,Gerrard St E / Main St,43.684261,-79.299332,22,20,2,"43.684261, -79.299332"
32b476b39dacc23dda545c39ffb549cc,Bike Share Toronto,Southwood Dr / Kingston Rd - SMART,43.678685,-79.297974,12,12,0,"43.678685, -79.297974"
de5dcf1ee9ccff065e01b4516b46f190,Bike Share Toronto,Neil McLellan Park,43.65143,-79.47779,15,4,10,"43.651430, -79.477790"
8aa5c061e4ae37e2e05b05d04afadc2e,Bike Share Toronto,Jane St / Bloor St W (Jane Subway Station),43.64976,-79.48477,15,7,8,"43.649760, -79.484770"
5f6ec96dda864a01fdf0c031b6a1b6d0,Bike Share Toronto,Antler St / Campbell Ave - SMART,43.664182,-79.449066,20,8,12,"43.664182, -79.449066"
4a5734eee8c1c49197ffe9b992dd032a,Bike Share Toronto,Clarence Square,43.64407,-79.3929,23,17,5,"43.644070, -79.392900"
ad299c229e85bba5b84af14933cfac77,Bike Share Toronto,Lake Shore Blvd W / Louisa St,43.61868,-79.48674,15,0,14,"43.618680, -79.486740"
41466727730d71a0286376ef3675d282,Bike Share Toronto,Front St W / Simcoe St,43.6442,-79.38702,19,7,12,"43.644200, -79.387020"
213541646a587196b1acb812a3d0a8ad,Bike Share Toronto,Lower Simcoe St / Bremner Blvd,43.64283,-79.38409,14,2,11,"43.642830, -79.384090"
1a68bd75d5159c7cc33367b97ee8ab8e,Bike Share Toronto,Glendonwynne Ave / Bloor St W,43.65182,-79.47421,19,3,16,"43.651820, -79.474210"
1dd10befe3fa0d7d7ebc657b9a01942b,Bike Share Toronto,Russell Hill Rd / St Clair Ave W,43.685569,-79.408019,19,9,10,"43.685569, -79.408019"
41ead9c9a4a83459161794bfb1894c07,Bike Share Toronto,Church St / Lombard St,43.651678,-79.375233,17,1,16,"43.651678, -79.375233"
